id,syllable,tone,speaker,gender,f0_01,f0_02,f0_03,f0_04,f0_05,f0_06,f0_07,f0_08,f0_09,f0_10,d0_01,d0_02,d0_03,d0_04,d0_05,d0_06,d0_07,d0_08,d0_09,f0_mean,f0_std,f0_min,f0_max,f0_slope,duration,voiced_ratio,f0_min_pos
6340,guī,1,Male Voice 1,male,-0.4558,-0.4558,-0.0418,0.1808,0.0274,-0.1729,-0.1659,0.2629,0.1379,-0.1463,0.0,0.4139,0.2226,-0.1534,-0.2003,0.007,0.4288,-0.1251,-0.2842,-0.0598,0.2795,-0.842,0.3481,0.5266,0.5083,0.8723,0.0
6344,gūn,1,Male Voice 1,male,2.0171,1.6765,0.0967,0.1185,-0.0033,-0.0783,-0.1863,0.1313,0.2525,-0.1192,-0.3407,-1.5797,0.0218,-0.1218,-0.0749,-0.1081,0.3176,0.1212,-0.3717,0.2091,0.76,-1.1634,2.0171,-0.995,0.5083,0.8936,0.6667
6348,guō,1,Male Voice 1,male,0.6986,-0.0757,0.3707,0.5341,0.0403,-0.2782,-0.3315,-0.2237,0.1741,-0.9816,-0.7744,0.4465,0.1633,-0.4937,-0.3185,-0.0533,0.1078,0.3978,-1.1557,0.0587,0.3987,-0.9816,0.6986,-0.96,0.4822,0.9111,1.0
6352,hā,1,Male Voice 1,male,0.6542,0.6542,0.6542,0.5335,0.2141,0.0753,0.0169,-0.4149,-0.3286,-0.0146,0.0,0.0,-0.1207,-0.3194,-0.1388,-0.0584,-0.4318,0.0862,0.314,0.2004,0.3916,-0.4631,0.6542,-1.2604,0.5866,0.6909,0.7778
6356,hāi,1,Male Voice 1,male,0.4715,0.4715,0.4715,0.1205,0.178,0.0281,0.0297,-0.1047,-0.3021,-0.0459,0.0,0.0,-0.351,0.0575,-0.1499,0.0016,-0.1344,-0.1974,0.2562,0.124,0.2533,-0.3154,0.4715,-0.8203,0.5605,0.7358,0.8889
6384,hēng,1,Male Voice 1,male,1.4443,1.4443,1.4443,-0.056,-0.1988,0.1413,-0.3648,1.0031,-0.2105,-1.4476,0.0,0.0,-1.5003,-0.1427,0.3401,-0.5062,1.3679,-1.2135,-1.2371,0.3535,0.8128,-1.5684,1.4443,-2.0265,0.6389,0.75,1.0
6388,hōng,1,Male Voice 1,male,0.6062,0.6062,0.6062,0.6062,0.0882,0.0402,0.256,-0.0947,-0.0301,-0.8588,0.0,0.0,0.0,-0.518,-0.0481,0.2158,-0.3506,0.0646,-0.8287,0.2101,0.3756,-0.9062,0.6062,-1.1544,0.665,0.6508,1.0
6392,hōu,1,Male Voice 1,male,1.1778,1.1778,1.1778,1.1778,-0.352,-0.0759,0.0051,-0.1152,0.0673,0.0915,0.0,0.0,0.0,-1.5299,0.2762,0.0809,-0.1203,0.1825,0.0243,0.3909,0.6081,-0.356,1.1778,-1.5179,0.4822,0.6667,0.4444
6396,hū,1,Male Voice 1,male,1.2341,1.2341,1.2341,-0.0823,0.2359,0.383,-0.0191,-0.1843,-0.188,-0.988,0.0,0.0,-1.3165,0.3182,0.1471,-0.4021,-0.1652,-0.0037,-0.8,0.3117,0.6391,-0.988,1.2341,-1.9597,0.5083,0.7447,1.0
6400,huā,1,Male Voice 1,male,0.0336,0.0336,0.0336,0.0336,0.4409,0.3151,0.0658,-0.5701,-0.8831,0.7576,0.0,0.0,0.0,0.4073,-0.1258,-0.2494,-0.6358,-0.3131,1.6408,0.0063,0.4309,-1.0923,0.7576,-0.3807,0.5866,0.6545,0.8889
6404,huāi,1,Male Voice 1,male,1.165,1.165,1.165,-0.5802,0.2399,0.1378,0.0641,-0.0076,-0.1382,-0.2445,0.0,0.0,-1.7452,0.8201,-0.102,-0.0737,-0.0717,-0.1306,-0.1063,0.3283,0.5805,-0.6603,1.165,-1.53,0.6389,0.7167,0.3333
6408,huān,1,Male Voice 1,male,0.9819,0.9819,0.9819,0.9819,0.1066,-0.2854,-0.2702,0.0366,0.0959,-0.3206,0.0,0.0,0.0,-0.8753,-0.392,0.0152,0.3067,0.0593,-0.4165,0.3374,0.5107,-0.3206,0.9819,-1.4383,0.6128,0.6552,1.0
6164,dī,1,Male Voice 1,male,0.8444,0.2637,0.014,-0.188,-0.0898,-0.06,0.164,0.2314,-0.0862,-0.5304,-0.5807,-0.2497,-0.202,0.0982,0.0298,0.224,0.0674,-0.3176,-0.4441,0.0525,0.3032,-0.5304,0.8444,-0.5629,0.5083,0.9362,1.0
6168,diā,1,Male Voice 1,male,0.9153,0.3111,-0.4443,-0.2025,-0.3205,-0.2944,-0.3121,0.1346,0.4791,0.679,-0.6042,-0.7554,0.2418,-0.118,0.0261,-0.0177,0.4467,0.3445,0.1999,0.0543,0.4368,-0.4504,0.9153,0.1117,0.5083,0.9362,0.2222
6172,diān,1,Male Voice 1,male,1.102,0.7816,0.0671,-0.3743,-0.2006,-0.2248,-0.3269,-0.1784,0.0937,1.0124,-0.3204,-0.7146,-0.4414,0.1738,-0.0242,-0.1022,0.1486,0.2721,0.9187,0.089,0.5096,-0.3879,1.102,-0.6643,0.5083,0.9149,0.3333
6176,diāo,1,Male Voice 1,male,2.0958,0.5875,-0.1735,-0.4144,-0.4733,-0.3046,-0.3286,-0.4707,0.5203,0.6328,-1.5083,-0.7611,-0.2409,-0.0589,0.1687,-0.0239,-0.1422,0.991,0.1125,0.105,0.7382,-0.554,2.0958,-0.6034,0.5866,0.9455,0.4444
6180,diē,1,Male Voice 1,male,1.1529,0.3258,0.6127,0.2892,-0.0363,0.0815,0.0437,-0.3098,-0.2758,-1.0724,-0.8271,0.287,-0.3236,-0.3254,0.1178,-0.0378,-0.3534,0.034,-0.7966,0.0663,0.58,-1.3637,1.1529,-1.8288,0.5083,0.9362,1.0
6184,dīng,1,Male Voice 1,male,0.3315,0.3799,0.251,-0.4284,-0.0796,0.2543,0.1593,-0.5162,-0.2381,-0.0638,0.0485,-0.1289,-0.6794,0.3488,0.3338,-0.095,-0.6755,0.2781,0.1742,0.0248,0.3548,-0.6767,0.8556,-0.3044,0.5083,0.9149,0.7778
6256,fēn,1,Male Voice 1,male,1.289,1.289,1.289,1.289,0.1075,0.0606,0.1758,-0.1564,-0.8079,0.9697,0.0,0.0,0.0,-1.1815,-0.0469,0.1152,-0.3322,-0.6515,1.7776,0.4186,0.703,-0.8895,1.289,-2.0381,0.6128,0.6724,0.8889
6260,fēng,1,Male Voice 1,male,0.0772,0.0772,0.0772,0.0013,-0.3209,0.2841,-0.5184,-0.2912,0.8702,0.1107,0.0,0.0,-0.076,-0.3222,0.605,-0.8025,0.2271,1.1615,-0.7596,0.0272,0.3198,-0.607,1.0968,0.1469,0.7434,0.6338,0.6667
6264,fō,1,Male Voice 1,male,2.9161,2.9161,2.9161,2.193,1.4727,1.8554,2.0505,1.9368,-9.9615,-9.7839,0.0,0.0,-0.7231,-0.7203,0.3827,0.195,-0.1137,-11.8983,0.1776,0.4827,4.2816,-10.0374,2.9161,-9.9569,0.665,0.6984,0.8889
6268,fōu,1,Male Voice 1,male,2.346,2.346,2.346,2.346,-0.2612,-0.1478,-0.161,-0.3302,0.1236,-0.0613,0.0,0.0,0.0,-2.6072,0.1135,-0.0132,-0.1691,0.4537,-0.1848,0.7771,1.1814,-0.4101,2.346,-3.2272,0.6389,0.6667,0.7778
6272,fū,1,Male Voice 1,male,1.7213,1.7213,1.7213,1.7213,-0.4524,-0.1832,0.21,-0.0547,0.1309,0.0303,0.0,0.0,0.0,-2.1737,0.2693,0.3932,-0.2647,0.1855,-0.1006,0.5987,0.8694,-0.465,1.7213,-2.2574,0.665,0.6508,0.4444
6276,gā,1,Male Voice 1,male,1.293,1.293,0.1119,0.0111,-0.2672,-0.2575,-0.0995,-0.1062,-0.0046,0.4251,0.0,-1.1812,-0.1007,-0.2783,0.0097,0.158,-0.0068,0.1016,0.4298,0.1418,0.4805,-0.3345,1.293,-0.9079,0.4822,0.8889,0.4444
7292,xiāng,1,Male Voice 1,male,2.5277,2.5277,2.5277,1.3263,-0.0281,-0.2145,-0.1892,-0.4864,-0.3949,-0.0758,0.0,0.0,-1.2014,-1.3544,-0.1863,0.0252,-0.2972,0.0915,0.3191,0.7772,1.2561,-0.5215,2.5277,-3.6733,0.7434,0.6901,0.7778
7296,xiāo,1,Male Voice 1,male,0.0388,0.0388,0.0388,0.0388,0.7309,-0.2191,-0.2444,-0.2057,-0.1538,0.6903,0.0,0.0,0.0,0.6922,-0.95,-0.0253,0.0387,0.0519,0.8441,0.012,0.2778,-0.4035,0.8512,-0.1871,0.6389,0.6333,0.6667
7300,xiē,1,Male Voice 1,male,0.2598,0.2598,0.2598,0.2335,0.5971,-0.0332,0.3916,-0.075,-1.107,-0.5091,0.0,0.0,-0.0263,0.3637,-0.6303,0.4248,-0.4666,-1.032,0.5979,0.0796,0.4124,-1.1092,0.6585,-0.9016,0.7173,0.6765,0.8889
7304,xīn,1,Male Voice 1,male,0.0131,0.0131,0.0131,0.0131,0.1689,0.0956,0.3401,0.221,-0.2469,-1.0042,0.0,0.0,0.0,0.1558,-0.0733,0.2445,-0.1191,-0.4679,-0.7573,0.0019,0.3012,-1.0042,0.4128,-0.2782,0.5866,0.6545,1.0
7308,xīng,1,Male Voice 1,male,0.5324,0.5324,0.5324,0.5324,0.6111,-0.1112,-0.0758,-0.2983,-0.2211,-0.5031,0.0,0.0,0.0,0.0787,-0.7223,0.0355,-0.2225,0.0772,-0.282,0.1758,0.3504,-0.5031,0.6256,-1.0918,0.6389,0.6667,1.0
7312,xiōng,1,Male Voice 1,male,0.1436,0.1436,0.1436,0.1436,0.278,-0.36,-0.1012,0.0334,0.1782,-0.4677,0.0,0.0,0.0,0.1343,-0.6379,0.2588,0.1346,0.1448,-0.6459,0.0494,0.1835,-0.4677,0.5346,-0.1333,0.6389,0.65,1.0
7316,xiū,1,Male Voice 1,male,1.7145,1.7145,1.7145,0.8299,0.049,-0.2858,-0.5729,-0.9377,1.1527,0.3114,0.0,0.0,-0.8846,-0.7809,-0.3348,-0.2871,-0.3649,2.0904,-0.8413,0.5374,0.9622,-0.9933,1.7145,-2.2292,0.6911,0.6818,0.7778
7268,wēng,1,Male Voice 1,male,-0.4306,-1.6536,-0.3318,-0.0233,-0.2434,0.1164,0.2839,0.2151,0.673,1.1358,-1.223,1.3218,0.3086,-0.2201,0.3597,0.1675,-0.0688,0.4579,0.4628,-0.0355,0.7584,-1.6974,1.994,2.2337,0.4822,0.9556,0.1111
7272,wō,1,Male Voice 1,male,-0.9852,-0.816,-0.3439,-0.1314,0.1834,0.4439,0.3852,-0.129,0.0105,1.0425,0.1692,0.472,0.2125,0.3147,0.2605,-0.0587,-0.5143,0.1396,1.032,-0.0708,0.4864,-1.0535,1.0425,1.2984,0.4822,0.9333,0.0
7276,wū,1,Male Voice 1,male,-0.9962,-1.1054,-0.539,-0.1332,0.2651,0.3518,0.3653,0.4877,0.1716,0.4469,-0.1092,0.5664,0.4058,0.3983,0.0867,0.0135,0.1223,-0.3161,0.2754,-0.0668,0.5474,-1.2493,0.499,1.6104,0.5344,0.94,0.1111
7280,xī,1,Male Voice 1,male,-0.3765,-0.3765,-0.3765,-0.3765,-0.0041,0.043,0.4968,0.2748,-0.2442,-0.9205,0.0,0.0,0.0,0.3725,0.047,0.4538,-0.222,-0.519,-0.6763,-0.1314,0.3416,-0.9205,0.4968,0.4316,0.7695,0.6575,1.0
7284,xiā,1,Male Voice 1,male,0.9395,0.9395,0.9395,0.9395,0.0219,-0.3502,-0.2449,-0.1941,0.3784,0.0989,0.0,0.0,0.0,-0.9176,-0.3722,0.1053,0.0509,0.5725,-0.2794,0.3291,0.5366,-0.482,1.0211,-1.3104,0.7173,0.6471,0.5556
7288,xiān,1,Male Voice 1,male,1.0197,1.0197,1.0197,1.0197,0.8041,-0.4788,-0.4255,-0.1858,0.0567,0.2458,0.0,0.0,0.0,-0.2156,-1.283,0.0534,0.2397,0.2425,0.1892,0.3873,0.6089,-0.6451,1.0197,-1.4836,0.6389,0.6167,0.5556
7200,tiān,1,Male Voice 1,male,2.7148,2.7148,2.7148,0.2021,-0.4222,-0.1668,-0.204,0.0439,0.2725,-0.232,0.0,0.0,-2.5127,-0.6243,0.2554,-0.0372,0.2479,0.2287,-0.5046,0.6724,1.2655,-0.4867,2.7148,-3.2766,0.7173,0.75,0.4444
7204,tiāo,1,Male Voice 1,male,2.1637,2.1637,2.1637,0.853,0.5788,0.2174,0.5749,0.7129,0.4458,-10.0177,0.0,0.0,-1.3107,-0.2742,-0.3614,0.3574,0.138,-0.2671,-10.4635,0.38,2.6824,-10.215,2.1637,-5.477,0.5605,0.7547,1.0
7208,tiē,1,Male Voice 1,male,1.6691,1.6691,1.6691,0.5901,0.3078,-0.3657,-0.5497,-0.2705,-0.3048,-0.2048,0.0,0.0,-1.079,-0.2824,-0.6735,-0.1839,0.2792,-0.0343,0.1001,0.397,0.8462,-0.6245,1.6691,-2.604,0.6128,0.7586,0.6667
7212,tīng,1,Male Voice 1,male,1.9144,1.9144,1.9144,0.7303,0.3498,-0.3736,-0.4126,-0.4359,-0.3323,-0.3897,0.0,0.0,-1.1841,-0.3805,-0.7234,-0.039,-0.0232,0.1035,-0.0574,0.5212,1.0115,-0.4676,1.9958,-3.1264,0.5083,0.7234,0.7778
7216,tōng,1,Male Voice 1,male,-1.1462,-1.1462,-1.1462,-0.2201,-0.0755,-0.0826,0.1962,-0.0145,0.1575,0.2206,0.0,0.0,0.9262,0.1446,-0.0072,0.2788,-0.2107,0.172,0.0631,-0.2515,0.5229,-1.1462,0.6727,1.3895,0.5866,0.7818,0.0
7220,tōu,1,Male Voice 1,male,-2.0147,-2.0147,0.3728,-0.0752,-0.2866,-0.3648,-0.1598,0.1193,0.2126,0.3192,0.0,2.3876,-0.4481,-0.2113,-0.0783,0.2051,0.2791,0.0933,0.1066,-0.4091,0.928,-2.0147,1.055,2.3134,0.4822,0.8,0.0
7156,suī,1,Male Voice 1,male,2.3432,2.3432,2.3432,2.3432,0.6187,0.2132,-0.1712,-0.4473,0.0137,-1.6296,0.0,0.0,0.0,-1.7245,-0.4054,-0.3844,-0.2761,0.461,-1.6433,0.8126,1.2315,-1.6296,2.3432,-3.9737,0.6389,0.65,1.0
716,huō,1,Female Voice 1,female,1.6222,1.2242,-0.0415,-0.1895,-0.0686,-0.1995,-0.1403,-0.3063,-0.0329,-0.1014,-0.398,-1.2657,-0.148,0.1209,-0.1309,0.0592,-0.166,0.2734,-0.0685,0.1486,0.6278,-0.3083,2.185,-1.3942,0.7956,0.8947,0.7778
7160,sūn,1,Male Voice 1,male,1.2879,1.2879,1.2879,1.2879,-0.0737,-0.1262,0.1677,-0.2011,0.0586,-0.5329,0.0,0.0,0.0,-1.3616,-0.0525,0.2938,-0.3687,0.2597,-0.5915,0.42,0.6469,-0.5329,1.2879,-1.9148,0.5866,0.6727,1.0
7164,suō,1,Male Voice 1,male,1.9323,1.9323,1.9323,1.9323,0.7103,-0.2254,-0.2521,-0.4514,-0.0879,-0.9383,0.0,0.0,0.0,-1.222,-0.9356,-0.0268,-0.1992,0.3635,-0.8505,0.6763,1.0266,-1.0431,1.9323,-3.1571,0.7173,0.6471,1.0
7168,tā,1,Male Voice 1,male,0.3047,0.3047,0.3047,-0.0531,0.1382,0.3198,0.0715,-0.3371,-0.244,0.1868,0.0,0.0,-0.3578,0.1913,0.1816,-0.2484,-0.4086,0.0931,0.4308,0.0833,0.2303,-0.4021,0.3541,-0.5678,0.5083,0.7234,0.7778
7172,tāi,1,Male Voice 1,male,0.9492,0.9492,0.9492,0.1102,-0.2736,-0.2668,-0.3581,0.1118,-0.0065,0.3615,0.0,0.0,-0.839,-0.3838,0.0068,-0.0913,0.4699,-0.1183,0.368,0.231,0.48,-0.3716,0.9492,-1.02,0.5605,0.7547,0.6667
7176,tān,1,Male Voice 1,male,1.6008,1.6008,1.6008,-0.0537,-0.385,-0.0856,0.1282,-0.1466,-0.1592,0.3472,0.0,0.0,-1.6545,-0.3313,0.2994,0.2138,-0.2748,-0.0125,0.5063,0.4051,0.7823,-0.4007,1.6008,-2.0083,0.5083,0.7447,0.4444
7244,wā,1,Male Voice 1,male,-2.7247,-1.6686,0.2256,0.0335,0.2238,0.3098,0.3759,0.3855,0.188,0.2979,1.0561,1.8942,-0.1921,0.1903,0.086,0.066,0.0096,-0.1975,0.11,-0.1763,0.9349,-2.7247,0.4886,2.2975,0.5344,0.94,0.0
7248,wāi,1,Male Voice 1,male,-0.9155,-1.2424,-0.1619,-0.0459,0.0737,0.0184,-0.0379,0.2455,0.6238,0.6838,-0.3269,1.0805,0.116,0.1196,-0.0553,-0.0563,0.2834,0.3784,0.0599,-0.045,0.5698,-1.8316,0.9296,1.5673,0.5344,0.96,0.1111
7252,wān,1,Male Voice 1,male,-1.9038,-2.2109,0.1378,0.1928,0.4153,0.6749,0.2389,0.1159,0.2447,0.2538,-0.3071,2.3486,0.0551,0.2225,0.2595,-0.436,-0.1231,0.1288,0.0091,-0.1004,0.9151,-2.557,0.6905,2.104,0.5083,0.9574,0.1111
7256,wāng,1,Male Voice 1,male,-0.9384,-1.5543,-0.1987,0.1558,0.2752,0.1401,0.3419,0.2765,0.5356,0.7203,-0.6159,1.3555,0.3546,0.1194,-0.1351,0.2018,-0.0654,0.2591,0.1848,-0.0505,0.6384,-1.9217,0.7203,1.7724,0.5083,0.9574,0.1111
7260,wēi,1,Male Voice 1,male,-1.3303,-2.5186,-0.2693,0.0627,0.2691,0.218,0.4686,1.0136,0.9692,0.5525,-1.1883,2.2493,0.332,0.2064,-0.0511,0.2506,0.545,-0.0444,-0.4166,-0.0791,1.0737,-2.7761,1.0649,3.1292,0.5866,0.9636,0.1111
7264,wēn,1,Male Voice 1,male,-1.2194,-2.3364,-0.1537,0.2218,0.6433,0.4239,0.034,0.4032,0.7479,-0.1864,-1.117,2.1827,0.3755,0.4215,-0.2194,-0.3899,0.3692,0.3447,-0.9343,-0.0688,0.8768,-2.5079,0.7766,2.154,0.5344,0.96,0.1111
7132,shuō,1,Male Voice 1,male,1.0787,1.0787,1.0787,1.0787,-0.3362,-0.3585,0.3464,0.4286,-0.0657,-0.0404,0.0,0.0,0.0,-1.4149,-0.0223,0.7049,0.0821,-0.4942,0.0252,0.3924,0.6022,-0.662,1.0787,-1.4541,0.7434,0.6338,0.5556
7136,sī,1,Male Voice 1,male,0.7453,0.7453,0.7453,0.7453,0.2865,-0.0163,0.1602,0.112,-0.2689,-1.2211,0.0,0.0,0.0,-0.4588,-0.3028,0.1765,-0.0482,-0.381,-0.9522,0.2936,0.4509,-1.2211,0.7453,-1.3511,0.6128,0.6034,1.0
7140,sōng,1,Male Voice 1,male,2.1606,2.1606,2.1606,0.1649,-0.386,-0.1748,-0.2256,0.0956,0.2683,-0.4379,0.0,0.0,-1.9957,-0.5509,0.2112,-0.0509,0.3212,0.1726,-0.7062,0.614,1.0343,-0.4379,2.1606,-2.6468,0.665,0.7143,1.0
7144,sōu,1,Male Voice 1,male,0.7668,0.7668,0.7668,0.7668,0.3057,-0.3842,-0.2229,-0.2892,0.0231,0.6826,0.0,0.0,0.0,-0.461,-0.69,0.1613,-0.0663,0.3123,0.6596,0.3152,0.5016,-0.4516,1.1073,-0.9215,0.5605,0.5849,0.5556
7148,sū,1,Male Voice 1,male,0.9322,0.9322,0.9322,0.9322,-0.0079,-0.0156,-0.2004,-0.1961,-0.0875,0.0124,0.0,0.0,0.0,-0.9401,-0.0077,-0.1848,0.0043,0.1087,0.0998,0.354,0.4925,-0.3145,0.9322,-1.3927,0.665,0.619,0.6667
7152,suān,1,Male Voice 1,male,1.6126,1.6126,1.6126,1.6126,-0.2715,-0.5321,-0.1126,0.1193,0.2196,0.1368,0.0,0.0,0.0,-1.8841,-0.2606,0.4195,0.232,0.1003,-0.0828,0.5344,0.8306,-0.5774,1.6126,-2.1032,0.6911,0.6667,0.5556
